site_code,State
NWS78,Northwest
NWS79,Northwest
NWS8,Northwest
NWS80,Northwest
NWS81,Northwest
NWS82,Northwest
NWS83,Northwest
NWS84,Northwest
NWS86,Northwest
NWS87,Northwest
NWS88,Northwest
NWS89,Northwest
NWS9,Northwest
NWS90,Northwest
NWS91,Northwest
NWS92,Northwest
NWS93,Northwest
NWS94,Northwest
NWS95,Northwest
NWS96,Northwest
NWS97,Northwest
NWS98,Northwest
NWS99,Northwest
ONE TREE REEF-1,Northeast
ONE TREE REEF-2,Northeast
ONE TREE REEF-3,Northeast
OPAL (2)-1,Northeast
OPAL (2)-2,Northeast
OPAL (2)-3,Northeast
PANDORA REEF-1,Northeast
PANDORA REEF-2,Northeast
PANDORA REEF-3,Northeast
PD-S10,Tasmania
PD-S11,Tasmania
PD-S12,Tasmania
PD-S13,Tasmania
PD-S14,Tasmania
PD-S15,Tasmania
PD-S16,Tasmania
PD-S17,Tasmania
PD-S18,Tasmania
PD-S19,Tasmania
PD-S20,Tasmania
PD-S21,Tasmania
PD-S22,Tasmania
PD-S23,Tasmania
PD-S24,Tasmania
PD-S25,Tasmania
PD-S26,Tasmania
PD-S27,Tasmania
PD-S28,Tasmania
PD-S29,Tasmania
PD-S4,Tasmania
PD-S7,Tasmania
PEART REEF-1,Northeast
PEART REEF-2,Northeast
PEART REEF-3,Northeast
PENRITH REEF-1,Northeast
PENRITH REEF-2,Northeast
PENRITH REEF-3,Northeast
PHMP23,Southeast
POMPEY REEF (NO 1)-1,Northeast
POMPEY REEF (NO 1)-2,Northeast
POMPEY REEF (NO 1)-3,Northeast
POMPEY REEF (NO 2)-1,Northeast
POMPEY REEF (NO 2)-2,Northeast
POMPEY REEF (NO 2)-3,Northeast
PPB10,South
PPB12,South
PPB13,South
PPB14,South
PPB15,South
PPB16,South
PPB17,South
PPB18,South
PPB19,South
PPB20,South
PPB21,South
PPB23,South
PPB25,South
PPB26,South
PPB28,South
PPB30,South
PPB31,South
PPB32,South
PPB34,South
PPB37,South
PPB38,South
PPB42,South
PPB48,South
PPB49,South
PPB50,South
PPB51,South
PPB53,South
PPB55,South
PPB62,South
PPB63,South
PPB7,South
PPB8,South
PPH18,South
PPH19,South
PPH20,South
PPH22,South
PPH23,South
PPH24,South
PPH26,South
PPH28,South
PPH29,South
PPH31,South
PPH32,South
PPH33,South
PPH34,South
PPH38,South
PPH40,South
PPH-S1,South
PPH-S10,South
PPH-S11,South
PPH-S12,South
PPH-S13,South
PPH-S14,South
PPH-S15,South
PPH-S16,South
PPH-S17,South
PPH-S18,South
PPH-S2,South
PPH-S3,South
PPH-S4,South
PPH-S5,South
PPH-S6,South
PPH-S7,South
PPH-S8,South
PPH-S9,South
PS1,Southeast
PS10,Southeast
PS12,Southeast
PS13,Southeast
PS15,Southeast
PS16,Southeast
PS17,Southeast
PS18,Southeast
PS2,Southeast
PS20,Southeast
PS21,Southeast
PS22,Southeast
PS23,Southeast
PS24,Southeast
PS25,Southeast
PS26,Southeast
PS27,Southeast
PS28,Southeast
PS29,Southeast
PS3,Southeast
PS30,Southeast
PS31,Southeast
PS34,Southeast
PS35,Southeast
PS38,Southeast
PS4,Southeast
PS40,Southeast
PS41,Southeast
PS43,Southeast
PS44,Southeast
PS5,Southeast
PS53,Southeast
PS6,Southeast
PS7,Southeast
PS8,Southeast
PS9,Southeast
QLD100,Northeast
QLD105,Northeast
QLD106,Northeast
QLD11,Northeast
QLD110,Northeast
QLD113,Northeast
QLD12,Northeast
QLD13,Northeast
QLD14,Northeast
QLD142,Northeast
