SPECIES_NAME,Family,Class,Taxon,Diet,Diet2,Slope,N,Spearman,Sig,Direction,Change,Max depth,Max depth,Max Length,Max Length,Max Length,Commercially exploited,N site,Lat Span degrees,endemism,Mobility,SiteLat,SiteLong,T Mean,T Mean,Biogeog,Chl mean,Count of 1450 sites,"Province 142 TI 147 prom 118 albany, temp <16 >21 oC chlorophyll >0.6",Biogeog2
Petricia vernicina,Asteropseidae,Asteroidea,Invertebrate,Benthic invertivore,Invertivore,-0.034446291,1502,-0.681318681,*,down,0.714344241,60,4.094344562,18,2.890371758,3,n,8.515018422,14,endemic,benthic,-37.36508458,140.0397371,17.05904404,17,temperate,1.024164834,419,S,cool
Neoglyphidodon melas,Pomacentridae,Actinopterygii,Vertebrate,Browsing herbivore,Herbivore,-0.064122916,1486,-0.697802198,**,down,0.525385283,12,2.48490665,18,2.890371758,3,n,6.278868806,14,non-endemic,demersal,-18.7607954,143.7548943,26.40625281,26.4,tropical,0.730413795,374,N,tropical
Cheilodactylus nigripes,Cheilodactylidae,Actinopterygii,Vertebrate,Benthic invertivore,Invertivore,-0.002276935,1481,0.186813187,,,0.956190693,60,4.094344562,41,3.713572067,4,n,3.520848685,11,endemic,demersal,-38.30305155,143.4012073,15.93464864,16,temperate,1.146702698,342,S,cool
Scarus flavipectoralis,Labridae,Actinopterygii,Vertebrate,Scraping herbivore,Herbivore,0.035907527,1476,0.021978022,,,1.410860676,16,2.772588722,40,3.688879454,4,n,4.634595573,22,non-endemic,demersal,-18.5246922,147.4256293,26.16792107,26.2,tropical,0.582973686,259,IWP,tropical
Acanthurus dussumieri,Acanthuridae,Actinopterygii,Vertebrate,Browsing herbivore,Herbivore,-0.010356071,1465,-0.049450549,,,0.960844651,131,4.875197323,54,3.988984047,4,n,2.423568313,25,non-endemic,demersal,-21.97403989,147.1057813,25.27212396,25.2,tropical,0.520451329,380,IWP,tropical
Chromis ternatensis,Pomacentridae,Actinopterygii,Vertebrate,Planktivore,Invertivore,-0.012735239,1451,-0.714285714,**,down,0.850097772,36,3.583518938,10,2.302585093,2,n,97.96628876,14,non-endemic,demersal,-17.12446587,144.3561142,26.66644896,26.6,tropical,0.456285716,344,IWP,tropical
Dascyllus reticulatus,Pomacentridae,Actinopterygii,Vertebrate,Planktivore,Invertivore,0.008231958,1446,-0.417582418,,,1.04624687,50,3.912023005,9,2.197224577,2,n,43.17559986,23,non-endemic,demersal,-18.639418,143.8883035,26.15004068,26.2,tropical,0.463349595,416,IWP,tropical
Chaetodon vagabundus,Chaetodontidae,Actinopterygii,Vertebrate,Corallivore,Invertivore,-0.019443229,1442,-0.43956044,,,0.828672717,30,3.401197382,23,3.135494216,3,n,1.403938898,24,non-endemic,demersal,-18.00357118,145.6535412,25.82678656,25.8,tropical,0.552426969,314,IWP,tropical
Notolabrus gymnogenis,Labridae,Actinopterygii,Vertebrate,Benthic invertivore,Invertivore,-0.008332057,1410,-0.049450549,,,0.933715564,40,3.688879454,49,3.891820298,4,n,12.43987832,9,endemic,demersal,-34.8793619,150.492371,18.394535,18.4,temperate,1.125558126,273,SE,warm
Chaetodon auriga,Chaetodontidae,Actinopterygii,Vertebrate,Corallivore,Invertivore,-0.016956658,1395,-0.368131868,,,0.863014337,35,3.555348061,23,3.135494216,3,n,1.428650091,25,non-endemic,demersal,-20.18056142,143.8919366,25.64141793,25.6,tropical,0.501052241,513,IWP,tropical
Girella zebra,Kyphosidae,Actinopterygii,Vertebrate,Browsing herbivore,Herbivore,0.018458116,1388,0.120879121,,,1.201671928,20,2.995732274,54,3.988984047,4,n,5.699298647,13,endemic,demersal,-37.56895608,140.534573,16.66123599,16.6,temperate,1.081977524,362,S,cool
